distance,traffic,time_of_day,day_of_week,arrival_minutes
2.82,9,16,5,12.6
4.85,10,19,4,24.6
8.7,10,17,6,35.5
15.15,10,14,1,50.9
0.55,2,3,2,3.4
16.39,8,21,2,55.0
4.6,5,11,2,19.3
10.51,2,23,2,29.0
2.25,9,9,2,10.9
14.23,10,9,0,65.0
17.03,6,11,3,56.2
11.92,8,3,3,42.9
10.37,10,15,3,39.2
8.69,8,16,4,31.2
16.2,10,7,6,62.6
14.24,2,22,4,46.9
8.87,3,15,1,30.3
14.16,8,22,4,48.7
5.39,7,21,2,18.7
14.12,7,13,1,48.0
6.24,5,0,0,24.3
19.23,9,15,2,68.5
18.47,5,22,3,59.1
10.19,7,17,5,40.1
18.19,5,10,3,61.3
13.94,9,8,3,62.1
18.48,3,13,6,51.3
13.15,8,11,0,42.6
4.29,7,4,3,17.8
9.3,9,2,4,33.9
15.98,4,3,4,54.9
5.74,6,4,0,21.9
6.61,10,18,6,31.0
13.95,3,17,1,58.2
9.72,3,19,5,35.2
13.54,3,18,2,57.8
10.4,7,4,4,37.3
19.2,7,2,0,63.6
16.76,6,0,0,55.3
6.42,6,3,3,23.5
19.0,10,19,6,73.1
4.54,10,10,3,21.3
12.17,2,17,3,53.7
3.88,9,1,3,17.4
17.43,4,15,5,49.3
13.09,4,16,1,43.6
3.63,3,12,2,11.7
2.03,5,5,2,9.7
3.91,8,15,6,15.1
3.95,9,15,3,16.0
2.84,9,8,6,15.4
0.6,2,14,5,3.2
6.94,9,21,1,28.1
3.56,9,21,4,15.6
15.94,4,3,4,52.6
11.58,4,18,2,48.3
11.48,9,4,0,41.4
9.0,2,21,0,29.1
15.3,3,20,5,44.1
11.97,2,9,2,51.6
3.65,5,2,0,11.5
15.65,7,0,0,55.3
2.38,1,9,0,12.0
19.77,6,10,6,57.8
9.39,10,1,3,34.6
9.52,2,21,2,32.4
17.3,5,12,2,59.2
14.84,7,0,2,50.5
14.06,5,23,6,41.0
15.47,6,18,0,66.6
11.07,6,6,4,43.2
3.66,2,3,0,14.5
2.95,6,19,5,14.7
8.78,3,11,3,29.4
7.99,4,13,5,23.9
11.09,9,21,4,40.7
8.24,5,4,1,30.1
9.84,5,10,1,34.2
18.91,10,2,6,56.6
17.39,9,8,2,77.2
12.84,6,1,5,39.1
5.23,1,7,5,17.2
10.42,3,23,6,26.5
19.04,4,17,6,71.8
5.88,4,11,2,19.2
16.32,10,9,1,73.3
3.59,7,4,3,17.9
16.37,9,22,3,54.6
16.01,3,2,2,51.0
3.19,2,0,4,13.0
4.73,10,9,4,26.1
11.01,9,20,5,34.9
3.58,9,3,0,16.9
11.18,5,1,5,34.1
12.06,4,5,2,40.2
3.11,7,6,5,13.1
12.78,10,20,3,47.2
15.56,9,5,5,46.3
10.57,3,10,4,35.5
2.78,1,11,0,9.7
7.68,4,17,1,33.0
2.57,6,15,0,10.6
17.54,2,12,2,55.5
7.28,8,3,4,25.8
10.62,6,21,6,30.0
2.11,2,15,6,7.3
6.58,4,5,2,21.3
6.79,8,12,2,26.5
3.95,8,7,6,17.4
15.85,7,18,3,68.1
4.65,8,23,4,18.4
5.72,2,10,2,18.7
16.9,8,8,1,73.2
6.97,3,17,6,25.8
